rahou,il est
ykoun,il sera
3ndo,il a
ye9bel,il accepte
yechri,il achète
yghib,il s'absente
yghawel,il accélère
y3wen,il aide
yzid,il ajoute
iro7,il va
i3ayet,il appelle
yestena,il attend
y7eb,il aime
idji,il arrive
yel7a9,il arrive
ya7bes,il arrête
Kayn,il y a
ye7a9,il a besoin
ykhaf,il a peur
ykhewwef,il fait peur
yechrob,il boit
yaghli,il bout
iksesser,il casse
y7awas,il cherche / il se balade
yekhiyer,il choisit
yabda,il commence
yeshem,il comprend
isoug,il conduit
yamen,il croit
ytayyab,il cuisinne
ya7bat,il descend
i'saksé,il demande
yefter,il déjeune
ywelle,il devient
y9ol,il dit
yet3echa,il dîne
y3té,il donne
y7at,il pose
yatna9al,il se déplace
yor9od,il dort
yesma3,il écoute
iedkhol,il entre
i9ele9,il s'énerve
isiyi,il essaye
yaktab,il écrit
ifid,il est utile
yebta,il tarde
idir,il fait
yewdja3,il fait mal
ighid,il fait pitier
yekfi,il suffit
yekber,il grandit
yeskoun,il habite
yelbes,il s'habille
iwelef,il s'habitue
isoum,il jeûne
yssab,il insulte
ikhali,il laisse
ye9ra,il lit / étudie
yel3b,il joue
yakul,il mange
yemchi,il marche
y7aT,il met
yatla3,il monte
yensa,il oublie
yahder,il parle
idjouzou,il passe
i'khalass,il paye
3adjebou,ça lui plaît 
ye9der,il peut
iwedjed,il prépare
yet7essen,il progresse
ya7ki,il raconte
yjib,il ramène
yzour,il rend visite
yo93ed,il reste / s'asseoie
Bqaw,il reste (temps)
mezelou,il reste (temps)
i3wed,il refait
ikhamam,il réfléchit
i'chouf,il regarde
iorja3 / iweli,il revient
inoud,il se lève
iouerelik,il te montre
ya3ref,il connaît
ysellek,il paye / sauve
y7ess,il sent
yokhrej,il sort
iteba3,il suit
i'ched,il tient
ghlet,il s'est trompé
itawwel,il tarde
yekhdem,il travaille
yamrad,il tombe malade
ymes,il touche
yel9a,il trouve
i3ich,il vit
iedi,il tient / prend
ikemmel,il termine
ya9tol,il tue
yasra9,il vole