ghawel,il a accéléré,verb
yghawel,il accélère,verb
chra,il a acheté,verb
yechri,il achète,verb
3awen,il a aidé,verb
y3awen,il aide,verb
7eb,il aimait,verb
y7eb,il aime,verb
ra7,il est allé,verb
yro7,il va,verb
3ayet,il a appelé,verb
y3ayet,il appelle,verb
djab,il a apporté,verb
ydjib,il apporte,verb
l7e9,il est arrivé,verb
yel7e9,il arrive,verb
stena,il a attendu,verb
yestena,il attend,verb
3ndou,il a,verb
chrob,il a bu,verb
yechrob,il boit,verb
bedel,il a changé,verb
tbedel,il change,verb
ghena,il a chanté,verb
ygheni,il chante,verb
7awess,il a cherché,verb
i7awess,il cherche,verb
ykoun,il sera,verb
kaan,il était,verb
rahou,il est,verb
bda,il a commencé,verb
yebda,il commence,verb
dja,il est venu,verb
ydji,il vient,verb
fham,il a compris,verb
fham,il comprend,verb
3ref,il a connu,verb
ya3raf,il connaît,verb
3ayet,il a crié,verb
y3ayet,il crie,verb
tayeb,il a cuisiné,verb
itayeb,il cuisine,verb
9al,il a dit,verb
y9ol,il dit,verb
chte7,il a dansé,verb
yechta7,il danse,verb
9ete3,il a dechiré,verb
y9ete3,il dechire,verb
se9sat,il a demandé,verb
ysa9ssi,il demande,verb
7bet,il est descendu,verb
ye7bet,il descend,verb
r9edt,il a dormi,verb
yer9od,il dort,verb
 kaan 3ndou,il a eu,verb
chek,il a douté,verb
ychek,il doute,verb
kteb,il a écrit,verb
yekteb,il écrit,verb
dkhel,il est rentré,verb
yedkhol ,il entre,verb
b3ath,il a envoyé,verb
yab3at,il envoie,verb
djarreb,il a essayé,verb
ydjarreb,il essaye,verb
siya,il a essayé,verb
ysiyi,il essaye,verb
fahem,il a expliqué,verb
yfahem,il explique,verb
dar,il a fait,verb
idir,il fait,verb
ghle9,il a fermé,verb
yeghle9,il ferme,verb
kemel,il a fini,verb
ikemel,il finit,verb
sken,il a habité,verb
yeskon,il habite,verb
khalla,il a laissé,verb
ykhali,il laisse,verb
9ra,il a lu,verb
ye9ra,il lit,verb
kla,il a mangé,verb
yakoul,il mange,verb
mcha,il a marché,verb
yemchi,il marche,verb
tla3,il est monté,verb
yetla3,il monte,verb
wera,il a montré,verb
iweri,il montre,verb
fte7,il a ouvert,verb
yefte7,il ouvre,verb
7el,il a ouvert,verb
y7el,il ouvre,verb
hdar,il a parlé,verb
yahdar,il parle,verb
9ssem,il a partagé,verb
ye9ssem,il partage,verb
khalass,il a payé,verb
ikhalass,il paye,verb
khamem,il a pensé,verb
ikhamem,il pense,verb
3djeb,il a plu,verb
ya3djeb,il plaît,verb
7et,il a posé,verb
y7et,il pose,verb
9der,il a pu,verb
ye9der,il peut,verb
da,il a pris,verb
yedi,il prend,verb
ssewer,il a pris en photo,verb
isewer,il prend en photo,verb
wajad,il a préparé,verb
iwajad,il prépare,verb
khamem,il a réfléchi,verb
ykhamem,il réfléchit,verb
93ed,il est resté,verb
ye93od,il reste,verb
d7ak,il a ri,verb
yed7ak,il rit,verb
93ed,il s'est assis,verb
ye93od,il s'assoie,verb
t9ele9,il s'est énervé,verb
yet9ele9,il s'énerve,verb
lbess,il s'est habillé,verb
yelbess,il s'habille,verb
3ref,il a su,verb
ya3raf,il sait,verb
3labalou,il sait,verb
dharab,il s'est battu,verb
yadharab,il se bat,verb
ziyer,il a serré,verb
iziyer,il serre,verb
dawa,il a soigné,verb
ydawi,il soigne,verb
khrej,il est sorti,verb
yokhrej,il sort,verb
ched,il a tenu,verb
iched,il tient,verb
kemel,il a terminé,verb
ikemel,il termine,verb
ta7,il est tombé,verb
iti7,il tombe,verb
3awedj,il a tordu,verb
y3awedj,il tord,verb
sab,il a trouvé,verb
yssib,il trouve,verb
baa3,il a vendu,verb
ybi3,il vend,verb
sre9,il a volé,verb
yessre9,il vole,verb
7ab,il a voulu,verb
7ab,il veut,verb
yensa,il oublie,verb
ensa,il a oublié,verb
yeghlet,il se trompe,verb
ghlete,il s'est trompé,verb
dja3e,il a faim,verb
3teche,il a soif,verb
3endou star,il a mal,verb
iwelli,il revient,verb
wella,il est revenu,verb
ichouff,il voit,verb
cheff,il a vu,verb
y ahbass,il arrête,verb
Habss,il a arrêté,verb
lazem,il faut,verb
khass,il manque,verb
b3id,loin,adjective
3ayan,fatigué,adjective
khfif,léger,adjective
jdid,neuf,adjective
smin,gros,adjective
mli7,bien,adjective
meftou7,ouvert,adjective
kbir,grand,adjective
m9ala9,impatient,adjective
sghir,petit,adjective
mrid,malade,adjective
t9qil,lent,adjective
ghali,cher,adjective
maghlou9,fermé,adjective
3a9al,gentil,adjective
wa3ar,difficile,adjective
s3ib,difficile,adjective
bnin,délicieux,adjective
faregh,vide,adjective
skhoun,chaud,adjective
chbeb,beau,adjective
wadjed,prêt,adjective
9rib,proche,adjective
bared,froid,adjective
touil,long,adjective
sehel,facile,adjective
9ari,instruit,adjective
wa9af,debout,adjective
9a3ad,assis,adjective
batal,gratuit,adjective
9bih,méchant,adjective
m9ala9,inquiet,adjective
mli7,bon,adjective
mahboul,fou,adjective
far7an,heureux,adjective
7achman,timide,adjective
f7el,courageux,adjective
ndif,propre,adjective
n9i,propre,adjective
chater,dégourdi,adjective
mez3ou9,moche,adjective
rzin,posé,adjective
9awi,fort,adjective
9bih,mauvais,adjective
za3fan,énervé,adjective
mwesekh,sale,adjective
zawali,pauvre,adjective
maghboun,triste,adjective
7ar,épicé,adjective
mala7,salé,adjective
7lou,sucré,adjective
mamdoud,allongé,adjective
françaoui,français,adjective
dziri,algérien,adjective
gawri,européen,adjective
marouki,marocain,adjective
tounsi,tunisien,adjective
masri,egyptien,adjective
3arbi,arabe,adjective
mouslim,musulman,adjective
massihi,chrétien,adjective
yhoudi,juif,adjective
ka7louche,noir,adjective
mayet jou3,affamé,adjective
mayet 3tach,assoifé,adjective
chab3an,rassasié,adjective
dji3an,faim,adjective
3atchane,soif,adjective
9ar3aj,curieux,adjective
m3abi,plein,adjective
mezroub,pressé,adjective
ghayeb,absent,adjective
7adar,présent,adjective
lati,occupé,adjective
khayef,peur,adjective
ra9ad,endormi,adjective
nayed,éveillé,adjective
hayel,enthousiaste,adjective
mbaher,perdu,adjective
ma7ro9,brûlé,adjective
mkasar,cassé,adjective
mkhaser,défaillant,adjective
mgachech,fâché,adjective
ghani,riche,adjective
ghayour,jaloux,adjective
mchamakh,mouillé,adjective
nachef,sec,adjective
niya,naïf,adjective
fassed,pourri,adjective
s7i7,solide,adjective
rachi,fragile,adjective
mach7a7,radin,adjective
krim,généreux,adjective
7assel ,bloqué,adjective
na3san,sommeil,adjective
7ili,rusé,adjective
m9atta3,déchiré,adjective
mtabbez,abîmé,adjective
Mon père,beba
Ma mère,Yema
mon grand père,bebasidou / jedi
ma grand mère,mane / djedet
mon oncle (paternel),3mi / 3mou
mon oncle (maternel),7ali / 7alou / Khali
ma tante,3mti / khalti
Mon cousin,wlid + 3mi/kahli/3mti/khalti
mes cousins (paternels différents oncle),wlad 3amoumi
mes cousins (paternels même oncle),wlad 3ami
mes cousins (paternels différentes tantes),ouled 3amati
mes cousins (paternels même tante),ouled 3amti
mes cousins (maternels différentes tantes),ouled khalati
mes cousins (maternals même tante),ouled khalti
mes cousins (maternels différents oncles),ouled khouali
mes cousins (maternals même oncle),ouled khali
ma cousine,Bent + ...
mes cousines,bnet +
mon frère,khouya (khou/khawa)
ma (mes) sœur(s),khti / khwatati
La soeur de,khout
Le frère de,Khou
mon fils,wliidi
ma fille,benti
ma femme,morti
mon mari,radjli
mon beau-frère,nsib / lousi
ma belle-soeur,sitbi / lousta
mon beau père,nsibi/sheikhi
garçon(s) / enfant,wled / Wlad ou Drari
fille(s) (enfant),bent / bnet
fille (nom),tefla
mon fils,wlidi
homme,radjel (seyed) / rdjal
femme,mra / nsa
parents,mwalin / walidin / maliya
mes parents,waldiya
la famille,el 3ayla
garçon,tfal
fille,fatla